VDD,Vgate,Wn,Rd,Bandwidth,PowerConsumption,VoltageGain
1.2,0.8,5e-06,1000,217000000.0,0.000869,10.46
1.2,0.8,5e-06,500,376000000.0,0.00101,6.22
1.2,0.8,5e-06,600,322000000.0,0.000976,7.44
1.2,0.8,5e-06,700,285000000.0,0.000947,8.42
1.2,0.8,5e-06,800,256000000.0,0.000919,9.23
1.2,0.8,5e-06,900,234000000.0,0.000894,9.91
1.2,0.8,5e-06,1100,203000000.0,0.000846,10.91
1.2,0.8,5e-06,1200,193000000.0,0.000824,11.24
1.2,0.8,5e-06,1300,186000000.0,0.000802,11.43
1.2,0.8,5e-06,1400,183000000.0,0.000781,11.38
1.2,0.8,5e-06,1500,187000000.0,0.000759,10.98
1.2,0.8,5e-06,1600,200000000.0,0.000736,10.03
1.2,0.8,5e-06,1700,227000000.0,0.000712,8.47
1.2,0.8,5e-06,1800,265000000.0,0.000687,6.55
1.2,0.8,5e-06,1900,308000000.0,0.000661,4.62
1.2,0.8,5e-06,2000,350000000.0,0.000636,2.89
1.2,0.8,5e-06,2100,388000000.0,0.000612,1.38
1.2,0.8,5e-06,2200,423000000.0,0.000589,0.06
1.2,0.8,3e-06,1000,194000000.0,0.000585,7.43
1.2,0.8,3e-06,500,353000000.0,0.000645,2.53
1.2,0.8,3e-06,600,300000000.0,0.000632,3.88
1.2,0.8,3e-06,700,262000000.0,0.000619,4.99
1.2,0.8,3e-06,800,234000000.0,0.000607,5.93
1.2,0.8,3e-06,900,212000000.0,0.000596,6.73
1.2,0.8,3e-06,1100,179000000.0,0.000574,8.05
1.2,0.8,3e-06,1200,167000000.0,0.000564,8.59
1.2,0.8,3e-06,1300,157000000.0,0.000554,9.08
1.2,0.8,3e-06,1400,149000000.0,0.000545,9.51
1.2,0.8,3e-06,1500,141000000.0,0.000536,9.9
1.2,0.8,3e-06,1600,135000000.0,0.000527,10.25
1.2,0.8,3e-06,1700,129000000.0,0.000518,10.56
1.2,0.8,3e-06,1800,124000000.0,0.00051,10.83
1.2,0.8,3e-06,1900,120000000.0,0.000502,11.06
1.2,0.8,3e-06,2000,116000000.0,0.000494,11.24
1.2,0.8,3e-06,2100,113000000.0,0.000486,11.37
1.2,0.8,3e-06,2200,111000000.0,0.000478,11.44
1.2,0.8,3e-06,2300,110000000.0,0.000471,11.42
1.2,0.8,3e-06,2400,111000000.0,0.000463,11.28
1.2,0.8,3e-06,2500,112000000.0,0.000455,10.99
1.2,0.8,3e-06,2600,116000000.0,0.000447,10.5
1.2,0.8,3e-06,2700,123000000.0,0.000439,9.78
1.2,0.8,3e-06,2800,133000000.0,0.00043,8.86
1.2,0.8,3e-06,2900,145000000.0,0.000421,7.76
1.2,0.8,3e-06,3000,159000000.0,0.000412,6.58
1.2,0.8,4e-06,1000,205000000.0,0.000735,9.23
1.2,0.8,4e-06,500,365000000.0,0.000832,4.65
1.2,0.8,4e-06,600,312000000.0,0.00081,5.94
1.2,0.8,4e-06,700,274000000.0,0.00079,6.98
1.2,0.8,4e-06,800,245000000.0,0.000771,7.86
1.2,0.8,4e-06,900,223000000.0,0.000753,8.6
1.2,0.8,4e-06,1100,191000000.0,0.000719,9.78
1.2,0.8,4e-06,1200,179000000.0,0.000703,10.25
1.2,0.8,4e-06,1300,169000000.0,0.000688,10.65
1.2,0.8,4e-06,1400,161000000.0,0.000673,10.99
1.2,0.8,4e-06,1500,155000000.0,0.000659,11.24
1.2,0.8,4e-06,1600,150000000.0,0.000645,11.4
1.2,0.8,4e-06,1700,147000000.0,0.000631,11.44
1.2,0.8,4e-06,1800,147000000.0,0.000617,11.28
1.2,0.8,4e-06,1900,151000000.0,0.000603,10.85
1.2,0.8,4e-06,2000,160000000.0,0.000589,10.04
1.2,0.8,4e-06,2100,177000000.0,0.000574,8.83
1.2,0.8,4e-06,2200,199000000.0,0.000558,7.36
1.2,0.8,4e-06,2300,226000000.0,0.000541,5.79
1.2,0.8,4e-06,2400,253000000.0,0.000525,4.28
1.2,0.8,4e-06,2500,280000000.0,0.000509,2.89
1.2,0.8,4e-06,2600,305000000.0,0.000493,1.68
1.2,0.8,4e-06,2700,328000000.0,0.000479,0.58
1.2,0.8,6e-06,1000,231000000.0,0.000989,11.24
1.2,0.8,6e-06,500,386000000.0,0.00117,7.44
1.2,0.8,6e-06,600,333000000.0,0.00113,8.6
1.2,0.8,6e-06,700,296000000.0,0.00109,9.52
1.2,0.8,6e-06,800,268000000.0,0.00106,10.26
1.2,0.8,6e-06,900,247000000.0,0.00102,10.83
1.2,0.8,6e-06,1100,222000000.0,0.000958,11.44
1.2,0.8,6e-06,1200,220000000.0,0.000927,11.28
1.2,0.8,6e-06,1300,232000000.0,0.000895,10.48
1.2,0.8,6e-06,1400,265000000.0,0.000861,8.82
1.2,0.8,6e-06,1500,318000000.0,0.000824,6.54
1.2,0.8,6e-06,1600,379000000.0,0.000788,4.26
1.2,0.8,6e-06,1700,438000000.0,0.000752,2.25
1.2,0.8,6e-06,1800,491000000.0,0.000718,0.56
1.2,0.8,7e-06,1000,256000000.0,0.00109,11.38
1.2,0.8,7e-06,500,397000000.0,0.00133,8.43
1.2,0.8,7e-06,600,344000000.0,0.00127,9.52
1.2,0.8,7e-06,700,307000000.0,0.00122,10.36
1.2,0.8,7e-06,800,281000000.0,0.00118,10.99
1.2,0.8,7e-06,900,263000000.0,0.00114,11.37
1.2,0.8,7e-06,1100,266000000.0,0.00105,10.67
1.2,0.8,7e-06,1200,309000000.0,0.001,8.81
1.2,0.8,7e-06,1300,383000000.0,0.000955,6.13
1.2,0.8,7e-06,1400,466000000.0,0.000905,3.55
1.2,0.8,7e-06,1500,543000000.0,0.000857,1.36
1.2,0.8,8e-06,1000,319000000.0,0.00118,10.02
1.2,0.8,8e-06,500,408000000.0,0.00147,9.24
1.2,0.8,8e-06,600,356000000.0,0.00141,10.26
1.2,0.8,8e-06,700,320000000.0,0.00135,10.99
1.2,0.8,8e-06,800,298000000.0,0.00129,11.4
1.2,0.8,8e-06,900,292000000.0,0.00124,11.27
1.2,0.8,8e-06,1100,397000000.0,0.00112,7.31
1.2,0.8,8e-06,1200,505000000.0,0.00105,4.25
1.2,0.8,8e-06,1300,608000000.0,0.000987,1.64
1.2,0.8,9e-06,1000,476000000.0,0.00124,6.51
1.2,0.8,9e-06,500,419000000.0,0.00161,9.91
1.2,0.8,9e-06,600,368000000.0,0.00153,10.83
1.2,0.8,9e-06,700,337000000.0,0.00146,11.38
1.2,0.8,9e-06,800,328000000.0,0.00139,11.27
1.2,0.8,9e-06,900,367000000.0,0.00132,9.74
1.2,0.8,9e-06,1100,612000000.0,0.00115,3.2
1.2,0.8,9e-06,1200,734000000.0,0.00108,0.54
1.2,0.8,1e-05,1000,695000000.0,0.00127,2.86
1.2,0.8,1e-05,500,431000000.0,0.00174,10.47
1.2,0.8,1e-05,600,383000000.0,0.00165,11.24
1.2,0.8,1e-05,700,363000000.0,0.00156,11.38
1.2,0.8,1e-05,800,398000000.0,0.00147,10.01
1.2,0.8,1e-05,900,528000000.0,0.00137,6.51
1.2,0.8,1e-05,1100,841000000.0,0.00118,0.03
1.2,0.6,5e-06,1000,182000000.0,0.000185,5.55
1.2,0.6,5e-06,500,342000000.0,0.000199,0.53
1.2,0.6,5e-06,600,289000000.0,0.000196,1.9
1.2,0.6,5e-06,700,251000000.0,0.000193,3.03
1.2,0.6,5e-06,800,222000000.0,0.000191,3.99
1.2,0.6,5e-06,900,200000000.0,0.000188,4.82
1.2,0.6,5e-06,1100,168000000.0,0.000183,6.19
1.2,0.6,5e-06,1200,156000000.0,0.000181,6.77
1.2,0.6,5e-06,1300,145000000.0,0.000178,7.28
1.2,0.6,5e-06,1400,136000000.0,0.000176,7.76
1.2,0.6,5e-06,1500,129000000.0,0.000174,8.19
1.2,0.6,5e-06,1600,122000000.0,0.000172,8.59
1.2,0.6,5e-06,1700,116000000.0,0.00017,8.95
1.2,0.6,5e-06,1800,111000000.0,0.000168,9.29
1.2,0.6,5e-06,1900,106000000.0,0.000166,9.61
1.2,0.6,5e-06,2000,101000000.0,0.000164,9.9
1.2,0.6,5e-06,2100,97300000.0,0.000163,10.18
1.2,0.6,5e-06,2200,93800000.0,0.000161,10.44
1.2,0.6,5e-06,2300,90600000.0,0.000159,10.68
1.2,0.6,5e-06,2400,87500000.0,0.000158,10.91
1.2,0.6,5e-06,2500,84700000.0,0.000156,11.13
1.2,0.6,5e-06,2600,82000000.0,0.000154,11.34
1.2,0.6,5e-06,2700,79500000.0,0.000153,11.53
1.2,0.6,5e-06,2800,77300000.0,0.000151,11.72
1.2,0.6,5e-06,2900,75300000.0,0.00015,11.9
1.2,0.6,5e-06,3000,73400000.0,0.000149,12.06
1.2,0.6,3e-06,1000,174000000.0,0.000118,1.89
1.2,0.6,3e-06,800,214000000.0,0.00012,0.21
1.2,0.6,3e-06,900,191000000.0,0.000119,1.1
1.2,0.6,3e-06,1100,159000000.0,0.000117,2.59
1.2,0.6,3e-06,1200,147000000.0,0.000116,3.23
1.2,0.6,3e-06,1300,137000000.0,0.000115,3.8
1.2,0.6,3e-06,1400,128000000.0,0.000114,4.33
1.2,0.6,3e-06,1500,120000000.0,0.000113,4.81
1.2,0.6,3e-06,1600,114000000.0,0.000112,5.26
1.2,0.6,3e-06,1700,108000000.0,0.000111,5.67
1.2,0.6,3e-06,1800,103000000.0,0.00011,6.06
1.2,0.6,3e-06,1900,97800000.0,0.000109,6.42
1.2,0.6,3e-06,2000,93700000.0,0.000108,6.76
1.2,0.6,3e-06,2100,89900000.0,0.000107,7.08
1.2,0.6,3e-06,2200,86400000.0,0.000107,7.38
1.2,0.6,3e-06,2300,83100000.0,0.000106,7.66
1.2,0.6,3e-06,2400,80000000.0,0.000105,7.93
1.2,0.6,3e-06,2500,77400000.0,0.000104,8.18
1.2,0.6,3e-06,2600,75000000.0,0.000104,8.42
1.2,0.6,3e-06,2700,72700000.0,0.000103,8.65
1.2,0.6,3e-06,2800,70600000.0,0.000102,8.87
1.2,0.6,3e-06,2900,68600000.0,0.000101,9.08
1.2,0.6,3e-06,3000,66700000.0,0.000101,9.29
1.2,0.6,4e-06,1000,178000000.0,0.000152,3.99
1.2,0.6,4e-06,600,284000000.0,0.00016,0.21
1.2,0.6,4e-06,700,246000000.0,0.000158,1.38
1.2,0.6,4e-06,800,218000000.0,0.000156,2.37
1.2,0.6,4e-06,900,196000000.0,0.000154,3.23
1.2,0.6,4e-06,1100,164000000.0,0.000151,4.66
1.2,0.6,4e-06,1200,152000000.0,0.000149,5.26
1.2,0.6,4e-06,1300,141000000.0,0.000148,5.81
1.2,0.6,4e-06,1400,132000000.0,0.000146,6.31
1.2,0.6,4e-06,1500,125000000.0,0.000144,6.76
1.2,0.6,4e-06,1600,118000000.0,0.000143,7.18
1.2,0.6,4e-06,1700,112000000.0,0.000142,7.57
1.2,0.6,4e-06,1800,107000000.0,0.00014,7.93
1.2,0.6,4e-06,1900,102000000.0,0.000139,8.27
1.2,0.6,4e-06,2000,97500000.0,0.000138,8.58
1.2,0.6,4e-06,2100,93800000.0,0.000136,8.88
1.2,0.6,4e-06,2200,90300000.0,0.000135,9.16
1.2,0.6,4e-06,2300,87000000.0,0.000134,9.42
1.2,0.6,4e-06,2400,83900000.0,0.000133,9.67
1.2,0.6,4e-06,2500,81100000.0,0.000131,9.9
1.2,0.6,4e-06,2600,78500000.0,0.00013,10.12
1.2,0.6,4e-06,2700,76200000.0,0.000129,10.33
1.2,0.6,4e-06,2800,74100000.0,0.000128,10.54
1.2,0.6,4e-06,2900,72100000.0,0.000127,10.73
