Wbias,Rd,Wn1,Wn2,Bandwidth,PowerConsumption,VoltageGain
4.5e-06,2000,6e-06,5e-06,94400000.0,0.000718,15.18
4.5e-06,2000,6e-06,6e-06,94200000.0,0.000722,15.45
4.5e-06,2000,6e-06,7e-06,94000000.0,0.000726,15.62
4.5e-06,2000,6e-06,8e-06,93900000.0,0.000729,15.74
4.5e-06,2000,6e-06,9e-06,93800000.0,0.000731,15.83
4.5e-06,2000,6e-06,1e-05,93600000.0,0.000733,15.89
4.5e-06,2000,6e-06,1.1e-05,93600000.0,0.000735,15.95
4.5e-06,2000,6e-06,1.2e-05,93500000.0,0.000736,15.99
4.5e-06,2000,7e-06,5e-06,94900000.0,0.000761,15.79
4.5e-06,2000,7e-06,6e-06,94500000.0,0.000766,16.13
4.5e-06,2000,7e-06,7e-06,94300000.0,0.00077,16.34
4.5e-06,2000,7e-06,8e-06,94100000.0,0.000773,16.48
4.5e-06,2000,7e-06,9e-06,94000000.0,0.000776,16.58
4.5e-06,2000,7e-06,1e-05,93900000.0,0.000778,16.66
4.5e-06,2000,7e-06,1.1e-05,93800000.0,0.00078,16.72
4.5e-06,2000,7e-06,1.2e-05,93700000.0,0.000781,16.77
4.5e-06,2000,8e-06,5e-06,95300000.0,0.000798,16.23
4.5e-06,2000,8e-06,6e-06,94900000.0,0.000804,16.65
4.5e-06,2000,8e-06,7e-06,94600000.0,0.000808,16.9
4.5e-06,2000,8e-06,8e-06,94400000.0,0.000811,17.07
4.5e-06,2000,8e-06,9e-06,94300000.0,0.000814,17.18
4.5e-06,2000,8e-06,1e-05,94200000.0,0.000816,17.27
4.5e-06,2000,8e-06,1.1e-05,94000000.0,0.000818,17.34
4.5e-06,2000,8e-06,1.2e-05,93900000.0,0.00082,17.4
4.5e-06,2000,9e-06,5e-06,95900000.0,0.000829,16.54
4.5e-06,2000,9e-06,6e-06,95400000.0,0.000836,17.05
4.5e-06,2000,9e-06,7e-06,95000000.0,0.00084,17.34
4.5e-06,2000,9e-06,8e-06,94800000.0,0.000844,17.54
4.5e-06,2000,9e-06,9e-06,94600000.0,0.000847,17.67
4.5e-06,2000,9e-06,1e-05,94500000.0,0.000849,17.77
4.5e-06,2000,9e-06,1.1e-05,94300000.0,0.000851,17.85
4.5e-06,2000,9e-06,1.2e-05,94200000.0,0.000853,17.91
4.5e-06,2000,1e-05,5e-06,96500000.0,0.000857,16.74
4.5e-06,2000,1e-05,6e-06,95900000.0,0.000864,17.34
4.5e-06,2000,1e-05,7e-06,95500000.0,0.000869,17.69
4.5e-06,2000,1e-05,8e-06,95200000.0,0.000873,17.91
4.5e-06,2000,1e-05,9e-06,95000000.0,0.000875,18.06
4.5e-06,2000,1e-05,1e-05,94800000.0,0.000878,18.17
4.5e-06,2000,1e-05,1.1e-05,94700000.0,0.00088,18.26
4.5e-06,2000,1e-05,1.2e-05,94600000.0,0.000882,18.33
4.5e-06,2000,1.1e-05,5e-06,97300000.0,0.000881,16.84
4.5e-06,2000,1.1e-05,6e-06,96500000.0,0.000889,17.54
4.5e-06,2000,1.1e-05,7e-06,96100000.0,0.000894,17.94
4.5e-06,2000,1.1e-05,8e-06,95700000.0,0.000898,18.19
4.5e-06,2000,1.1e-05,9e-06,95500000.0,0.000901,18.37
4.5e-06,2000,1.1e-05,1e-05,95300000.0,0.000903,18.49
4.5e-06,2000,1.1e-05,1.1e-05,95200000.0,0.000906,18.58
4.5e-06,2000,1.1e-05,1.2e-05,95100000.0,0.000907,18.66
4.5e-06,2000,1.2e-05,5e-06,98300000.0,0.000902,16.84
4.5e-06,2000,1.2e-05,6e-06,97400000.0,0.000911,17.65
4.5e-06,2000,1.2e-05,7e-06,96800000.0,0.000916,18.11
4.5e-06,2000,1.2e-05,8e-06,96400000.0,0.000921,18.39
4.5e-06,2000,1.2e-05,9e-06,96200000.0,0.000924,18.59
4.5e-06,2000,1.2e-05,1e-05,96000000.0,0.000926,18.72
4.5e-06,2000,1.2e-05,1.1e-05,95900000.0,0.000928,18.82
4.5e-06,2000,1.2e-05,1.2e-05,95800000.0,0.00093,18.9
4.5e-06,2000,1.3e-05,5e-06,99500000.0,0.000922,16.75
4.5e-06,2000,1.3e-05,6e-06,98400000.0,0.000931,17.67
4.5e-06,2000,1.3e-05,7e-06,97800000.0,0.000937,18.19
4.5e-06,2000,1.3e-05,8e-06,97400000.0,0.000941,18.51
4.5e-06,2000,1.3e-05,9e-06,97100000.0,0.000944,18.72
4.5e-06,2000,1.3e-05,1e-05,97000000.0,0.000947,18.86
4.5e-06,2000,1.3e-05,1.1e-05,96800000.0,0.000949,18.96
4.5e-06,2000,1.3e-05,1.2e-05,96800000.0,0.000951,19.04
4.5e-06,2000,1.4e-05,5e-06,101000000.0,0.000939,16.58
4.5e-06,2000,1.4e-05,6e-06,99800000.0,0.000948,17.6
4.5e-06,2000,1.4e-05,7e-06,99100000.0,0.000955,18.18
4.5e-06,2000,1.4e-05,8e-06,98700000.0,0.000959,18.53
4.5e-06,2000,1.4e-05,9e-06,98500000.0,0.000963,18.75
4.5e-06,2000,1.4e-05,1e-05,98300000.0,0.000966,18.9
4.5e-06,2000,1.4e-05,1.1e-05,98300000.0,0.000968,19.0
