C1,C2,Ld,Lg,Ls,WN1,WN2,GTMax,S11Min,NFMin,Bandwidth,PowerConsumption
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5e-06,5e-06,14.61,-13.22,1.819,4370000000.0,0.0156
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5e-06,5.25e-06,14.64,-13.21,1.816,4360000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5e-06,5.5e-06,14.66,-13.2,1.814,4340000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5e-06,5.75e-06,14.68,-13.19,1.813,4310000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5e-06,6e-06,14.7,-13.18,1.811,4290000000.0,0.0158
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.25e-06,5e-06,14.85,-13.34,1.818,4220000000.0,0.0162
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.25e-06,5.25e-06,14.88,-13.37,1.816,4200000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.25e-06,5.5e-06,14.9,-13.39,1.814,4180000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.25e-06,5.75e-06,14.92,-13.4,1.812,4160000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.25e-06,6e-06,14.94,-13.41,1.811,4140000000.0,0.0164
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.5e-06,5e-06,15.07,-13.65,1.819,4080000000.0,0.0168
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.5e-06,5.25e-06,15.09,-13.62,1.817,4060000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.5e-06,5.5e-06,15.12,-13.59,1.814,4050000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.5e-06,5.75e-06,15.14,-13.56,1.812,4030000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.5e-06,6e-06,15.16,-13.55,1.811,4010000000.0,0.017
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.75e-06,5e-06,15.27,-13.87,1.82,3960000000.0,0.0174
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.75e-06,5.25e-06,15.29,-13.87,1.818,3950000000.0,0.0174
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.75e-06,5.5e-06,15.32,-13.87,1.816,3930000000.0,0.0175
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.75e-06,5.75e-06,15.34,-13.87,1.814,3910000000.0,0.0175
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,5.75e-06,6e-06,15.36,-13.86,1.813,3900000000.0,0.0176
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,6e-06,5e-06,15.44,-13.99,1.822,3850000000.0,0.018
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,6e-06,5.25e-06,15.47,-14.03,1.819,3840000000.0,0.018
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,6e-06,5.5e-06,15.5,-14.06,1.817,3830000000.0,0.0181
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,6e-06,5.75e-06,15.52,-14.09,1.815,3810000000.0,0.0181
4e-13,2.5e-13,3.7e-09,1.04e-08,7.47e-10,6e-06,6e-06,15.54,-14.11,1.813,3800000000.0,0.0182
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5e-06,5e-06,15.28,-16.1,1.778,4800000000.0,0.0156
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5e-06,5.25e-06,15.31,-16.09,1.775,4800000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5e-06,5.5e-06,15.33,-16.08,1.773,4790000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5e-06,5.75e-06,15.34,-16.06,1.772,4780000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5e-06,6e-06,15.36,-16.04,1.77,4770000000.0,0.0158
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.25e-06,5e-06,15.56,-16.44,1.781,4600000000.0,0.0162
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.25e-06,5.25e-06,15.58,-16.34,1.779,4600000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.25e-06,5.5e-06,15.6,-16.24,1.777,4590000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.25e-06,5.75e-06,15.62,-16.14,1.776,4580000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.25e-06,6e-06,15.63,-16.04,1.774,4570000000.0,0.0164
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.5e-06,5e-06,15.8,-16.68,1.781,4420000000.0,0.0168
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.5e-06,5.25e-06,15.83,-16.64,1.779,4420000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.5e-06,5.5e-06,15.85,-16.6,1.777,4410000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.5e-06,5.75e-06,15.87,-16.55,1.775,4400000000.0,0.0169
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.5e-06,6e-06,15.88,-16.5,1.773,4400000000.0,0.017
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.75e-06,5e-06,16.03,-16.75,1.786,4260000000.0,0.0174
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.75e-06,5.25e-06,16.05,-16.62,1.783,4260000000.0,0.0174
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.75e-06,5.5e-06,16.07,-16.64,1.781,4260000000.0,0.0175
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.75e-06,5.75e-06,16.09,-16.65,1.779,4250000000.0,0.0175
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,5.75e-06,6e-06,16.11,-16.65,1.777,4240000000.0,0.0176
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,6e-06,5e-06,16.23,-17.19,1.787,4120000000.0,0.018
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,6e-06,5.25e-06,16.25,-17.1,1.784,4120000000.0,0.018
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,6e-06,5.5e-06,16.28,-17.01,1.782,4120000000.0,0.0181
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,6e-06,5.75e-06,16.3,-16.91,1.78,4110000000.0,0.0181
4e-13,2.5e-13,3.7e-09,1.04e-08,6e-10,6e-06,6e-06,16.31,-16.81,1.779,4110000000.0,0.0182
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5e-06,5e-06,14.83,-13.82,1.805,4500000000.0,0.0156
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5e-06,5.25e-06,14.85,-13.79,1.803,4490000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5e-06,5.5e-06,14.87,-13.8,1.801,4480000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5e-06,5.75e-06,14.89,-13.81,1.799,4460000000.0,0.0157
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5e-06,6e-06,14.9,-13.82,1.797,4440000000.0,0.0158
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.25e-06,5e-06,15.07,-14.14,1.806,4340000000.0,0.0162
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.25e-06,5.25e-06,15.09,-14.1,1.804,4330000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.25e-06,5.5e-06,15.11,-14.07,1.802,4310000000.0,0.0163
4e-13,2.5e-13,3.7e-09,1.04e-08,7e-10,5.25e-06,5.75e-06,15.14,-14.03,1.8,4300000000.0,0.0163
