C,R,WLO,WRF,PowerConsumption,IFVoltageSwing,ConversionGain,NoiseFigure
1e-12,350,1e-05,2e-05,0.00737,0.00341,5.644,8.192
1e-12,350,1e-05,1.6e-05,0.00737,0.00316,5.034,8.276
1e-12,350,1e-05,1.8e-05,0.00737,0.0033,5.379,8.216
1e-12,350,1e-05,2.1e-05,0.00737,0.00346,5.752,8.189
1e-12,350,1e-05,2.4e-05,0.00736,0.00356,5.996,8.213
1e-12,350,5e-06,2e-05,0.00727,0.00335,5.352,8.19
1e-12,350,5e-06,1.6e-05,0.00728,0.00312,4.797,8.258
1e-12,350,5e-06,1.8e-05,0.00728,0.00325,5.115,8.206
1e-12,350,5e-06,1.9e-05,0.00727,0.0033,5.243,8.194
1e-12,350,5e-06,2.4e-05,0.00727,0.00349,5.644,8.23
1e-12,350,6e-06,2e-05,0.00731,0.00339,5.454,8.181
1e-12,350,6e-06,1.6e-05,0.00731,0.00315,4.884,8.253
1e-12,350,6e-06,1.7e-05,0.00731,0.00321,5.058,8.221
1e-12,350,6e-06,1.9e-05,0.00731,0.00332,5.341,8.186
1e-12,350,6e-06,2.3e-05,0.00731,0.0035,5.705,8.2
1e-12,350,6e-06,2.5e-05,0.0073,0.00355,5.811,8.234
1e-12,350,7e-06,2e-05,0.00734,0.0034,5.521,8.18
1e-12,350,7e-06,1.5e-05,0.00734,0.00308,4.735,8.302
1e-12,350,7e-06,1.7e-05,0.00734,0.00323,5.117,8.223
1e-12,350,7e-06,1.8e-05,0.00734,0.00329,5.271,8.2
1e-12,350,7e-06,1.9e-05,0.00734,0.00335,5.405,8.186
1e-12,350,7e-06,2.1e-05,0.00734,0.00345,5.622,8.18
1e-12,350,7e-06,2.2e-05,0.00733,0.00348,5.708,8.185
1e-12,350,7e-06,2.3e-05,0.00733,0.00352,5.781,8.195
1e-12,350,7e-06,2.4e-05,0.00733,0.00354,5.842,8.209
1e-12,350,7e-06,2.5e-05,0.00733,0.00358,5.893,8.227
1e-12,350,8e-06,2e-05,0.00735,0.00341,5.571,8.182
1e-12,350,8e-06,1.6e-05,0.00736,0.00316,4.979,8.262
1e-12,350,8e-06,1.8e-05,0.00735,0.00329,5.315,8.204
1e-12,350,8e-06,1.9e-05,0.00735,0.00335,5.452,8.19
1e-12,350,8e-06,2.1e-05,0.00735,0.00346,5.674,8.181
1e-12,350,8e-06,2.2e-05,0.00735,0.0035,5.762,8.185
1e-12,350,8e-06,2.3e-05,0.00735,0.00353,5.838,8.195
1e-12,350,8e-06,2.4e-05,0.00735,0.00355,5.902,8.208
1e-12,350,8e-06,2.5e-05,0.00735,0.00359,5.956,8.225
1e-12,350,9e-06,1.5e-05,0.00737,0.00309,4.801,8.316
1e-12,350,9e-06,1.6e-05,0.00737,0.00315,5.01,8.269
1e-12,350,9e-06,2.1e-05,0.00736,0.00346,5.716,8.184
1e-12,350,9e-06,2.2e-05,0.00736,0.0035,5.807,8.188
1e-12,350,9e-06,2.3e-05,0.00736,0.00353,5.886,8.197
1e-12,350,9e-06,2.4e-05,0.00736,0.00356,5.953,8.209
1e-12,350,9e-06,2.5e-05,0.00736,0.00358,6.009,8.225
1e-12,350,1.1e-05,2e-05,0.00738,0.0034,5.665,8.199
1e-12,350,1.1e-05,1.5e-05,0.00738,0.00306,4.835,8.333
1e-12,350,1.1e-05,1.6e-05,0.00738,0.00315,5.048,8.285
1e-12,350,1.1e-05,1.7e-05,0.00738,0.00322,5.233,8.249
1e-12,350,1.1e-05,1.8e-05,0.00738,0.00328,5.397,8.224
1e-12,350,1.1e-05,1.9e-05,0.00738,0.00336,5.54,8.208
1e-12,350,1.1e-05,2.2e-05,0.00737,0.00349,5.871,8.2
1e-12,350,1.1e-05,2.3e-05,0.00737,0.00354,5.954,8.209
1e-12,350,1.1e-05,2.4e-05,0.00737,0.00357,6.025,8.221
1e-12,350,1.1e-05,2.5e-05,0.00737,0.00359,6.086,8.237
1e-12,350,1.2e-05,2e-05,0.00738,0.0034,5.664,8.209
1e-12,350,1.2e-05,1.5e-05,0.00738,0.00307,4.828,8.343
1e-12,350,1.2e-05,1.6e-05,0.00738,0.00315,5.042,8.295
1e-12,350,1.2e-05,1.7e-05,0.00738,0.00322,5.229,8.259
1e-12,350,1.2e-05,2.1e-05,0.00738,0.00343,5.775,8.207
1e-12,350,1.2e-05,2.2e-05,0.00738,0.00348,5.872,8.21
1e-12,350,1.2e-05,2.3e-05,0.00737,0.00352,5.957,8.218
1e-12,350,1.2e-05,2.4e-05,0.00737,0.00357,6.03,8.23
1e-12,350,1.2e-05,2.5e-05,0.00737,0.00359,6.092,8.246
1e-12,350,1.3e-05,2e-05,0.00738,0.00339,5.633,8.221
1e-12,350,1.3e-05,1.5e-05,0.00739,0.00307,4.794,8.356
1e-12,350,1.3e-05,1.6e-05,0.00739,0.00315,5.008,8.307
1e-12,350,1.3e-05,1.7e-05,0.00739,0.00322,5.196,8.271
1e-12,350,1.3e-05,1.8e-05,0.00739,0.00327,5.361,8.246
1e-12,350,1.3e-05,1.9e-05,0.00738,0.00333,5.506,8.23
1e-12,350,1.3e-05,2.1e-05,0.00738,0.00342,5.745,8.219
1e-12,350,1.3e-05,2.2e-05,0.00738,0.00349,5.844,8.221
1e-12,350,1.3e-05,2.3e-05,0.00738,0.00351,5.929,8.229
1e-12,350,1.3e-05,2.4e-05,0.00737,0.00356,6.003,8.241
1e-12,350,1.3e-05,2.5e-05,0.00737,0.00358,6.066,8.256
1e-12,350,1.4e-05,2e-05,0.00738,0.00337,5.579,8.235
1e-12,350,1.4e-05,1.5e-05,0.00739,0.00307,4.738,8.372
1e-12,350,1.4e-05,1.6e-05,0.00739,0.00313,4.952,8.323
1e-12,350,1.4e-05,1.7e-05,0.00739,0.0032,5.14,8.287
1e-12,350,1.4e-05,1.8e-05,0.00739,0.00327,5.305,8.261
1e-12,350,1.4e-05,1.9e-05,0.00739,0.00333,5.451,8.244
1e-12,350,1.4e-05,2.1e-05,0.00738,0.00342,5.692,8.232
1e-12,350,1.4e-05,2.2e-05,0.00738,0.00346,5.79,8.234
1e-12,350,1.4e-05,2.3e-05,0.00738,0.0035,5.877,8.241
1e-12,350,1.4e-05,2.4e-05,0.00738,0.00355,5.951,8.252
1e-12,350,1.4e-05,2.5e-05,0.00737,0.00357,6.016,8.267
1e-12,350,1.5e-05,2e-05,0.00739,0.00339,5.513,8.251
1e-12,350,1.5e-05,1.5e-05,0.00739,0.00305,4.67,8.393
1e-12,350,1.5e-05,1.6e-05,0.00739,0.00313,4.885,8.342
1e-12,350,1.5e-05,1.7e-05,0.00739,0.00321,5.073,8.305
1e-12,350,1.5e-05,1.8e-05,0.00739,0.00325,5.238,8.279
1e-12,350,1.5e-05,1.9e-05,0.00739,0.0033,5.384,8.261
1e-12,350,1.5e-05,2.1e-05,0.00738,0.00342,5.626,8.247
1e-12,350,1.5e-05,2.2e-05,0.00738,0.00347,5.725,8.248
1e-12,350,1.5e-05,2.3e-05,0.00738,0.0035,5.812,8.254
1e-12,350,1.5e-05,2.4e-05,0.00738,0.0035,5.887,8.265
1e-12,350,1.5e-05,2.5e-05,0.00737,0.00356,5.952,8.279
1e-12,200,1e-05,2e-05,0.00929,0.00297,3.996,8.504
1e-12,200,1e-05,1.5e-05,0.00928,0.00267,3.169,8.698
1e-12,200,1e-05,1.6e-05,0.00929,0.00274,3.378,8.635
1e-12,200,1e-05,1.7e-05,0.00929,0.00281,3.562,8.586
1e-12,200,1e-05,1.8e-05,0.00929,0.00287,3.725,8.549
1e-12,200,1e-05,1.9e-05,0.00929,0.00291,3.869,8.522
1e-12,200,1e-05,2.1e-05,0.00929,0.00301,4.108,8.493
1e-12,200,1e-05,2.2e-05,0.00929,0.00305,4.208,8.488
1e-12,200,1e-05,2.3e-05,0.00929,0.00309,4.296,8.489
1e-12,200,1e-05,2.4e-05,0.00929,0.00312,4.373,8.495
1e-12,200,1e-05,2.5e-05,0.00929,0.00315,4.44,8.504
1e-12,200,5e-06,2e-05,0.00915,0.00294,3.991,8.542
1e-12,200,5e-06,1.5e-05,0.00914,0.00266,3.202,8.716
1e-12,200,5e-06,1.6e-05,0.00915,0.00274,3.405,8.658
1e-12,200,5e-06,1.7e-05,0.00915,0.00279,3.583,8.613
1e-12,200,5e-06,1.8e-05,0.00915,0.00285,3.738,8.58
1e-12,200,5e-06,1.9e-05,0.00915,0.0029,3.873,8.557
1e-12,200,5e-06,2.1e-05,0.00915,0.00299,4.092,8.535
1e-12,200,5e-06,2.2e-05,0.00915,0.00302,4.18,8.533
1e-12,200,5e-06,2.3e-05,0.00915,0.00305,4.255,8.537
1e-12,200,5e-06,2.4e-05,0.00915,0.00309,4.318,8.546
1e-12,200,5e-06,2.5e-05,0.00915,0.00311,4.37,8.558
1e-12,200,6e-06,2e-05,0.00921,0.00297,4.04,8.525
1e-12,200,6e-06,1.5e-05,0.0092,0.00268,3.239,8.706
1e-12,200,6e-06,1.6e-05,0.0092,0.00275,3.445,8.646
1e-12,200,6e-06,1.7e-05,0.0092,0.00281,3.625,8.6
1e-12,200,6e-06,1.8e-05,0.00921,0.00286,3.782,8.566
1e-12,200,6e-06,1.9e-05,0.00921,0.00292,3.92,8.541
1e-12,200,6e-06,2.1e-05,0.00921,0.00301,4.145,8.515
1e-12,200,6e-06,2.2e-05,0.00921,0.00305,4.236,8.512
1e-12,200,6e-06,2.3e-05,0.00921,0.00309,4.314,8.514
1e-12,200,6e-06,2.4e-05,0.00921,0.00312,4.381,8.52
1e-12,200,6e-06,2.5e-05,0.00921,0.00313,4.438,8.531
1e-12,200,7e-06,2e-05,0.00924,0.00297,4.048,8.516
1e-12,200,7e-06,1.5e-05,0.00923,0.00268,3.239,8.704
1e-12,200,7e-06,1.6e-05,0.00923,0.00275,3.446,8.643
1e-12,200,7e-06,1.7e-05,0.00924,0.00281,3.627,8.596
1e-12,200,7e-06,1.8e-05,0.00924,0.00288,3.786,8.56
1e-12,200,7e-06,1.9e-05,0.00924,0.00292,3.926,8.534
1e-12,200,7e-06,2.1e-05,0.00924,0.00301,4.154,8.505
1e-12,200,7e-06,2.2e-05,0.00924,0.00305,4.248,8.5
1e-12,200,7e-06,2.3e-05,0.00924,0.00309,4.329,8.501
1e-12,200,7e-06,2.4e-05,0.00924,0.00312,4.399,8.507
1e-12,200,7e-06,2.5e-05,0.00924,0.00315,4.459,8.516
1e-12,200,8e-06,2e-05,0.00927,0.00297,4.033,8.511
1e-12,200,8e-06,1.5e-05,0.00925,0.00267,3.219,8.704
1e-12,200,8e-06,1.6e-05,0.00926,0.00275,3.427,8.642
1e-12,200,8e-06,1.7e-05,0.00926,0.00281,3.609,8.593
1e-12,200,8e-06,1.8e-05,0.00926,0.00287,3.769,8.557
1e-12,200,8e-06,1.9e-05,0.00926,0.00293,3.91,8.53
1e-12,200,8e-06,2.1e-05,0.00927,0.00301,4.142,8.499
1e-12,200,8e-06,2.2e-05,0.00927,0.00306,4.238,8.494
1e-12,200,8e-06,2.3e-05,0.00927,0.00309,4.321,8.494
1e-12,200,8e-06,2.4e-05,0.00926,0.00312,4.394,8.499
1e-12,200,8e-06,2.5e-05,0.00926,0.00315,4.458,8.508
1e-12,200,9e-06,2e-05,0.00928,0.00297,4.012,8.507
1e-12,200,9e-06,1.5e-05,0.00927,0.00267,3.192,8.702
1e-12,200,9e-06,1.6e-05,0.00927,0.00275,3.401,8.639
1e-12,200,9e-06,1.7e-05,0.00928,0.00281,3.584,8.59
1e-12,200,9e-06,1.8e-05,0.00928,0.00287,3.745,8.553
1e-12,200,9e-06,1.9e-05,0.00928,0.00292,3.887,8.526
1e-12,200,9e-06,2.1e-05,0.00928,0.00302,4.123,8.495
1e-12,200,9e-06,2.2e-05,0.00928,0.00305,4.221,8.49
1e-12,200,9e-06,2.3e-05,0.00928,0.00309,4.307,8.49
1e-12,200,9e-06,2.4e-05,0.00928,0.00312,4.383,8.496
1e-12,200,9e-06,2.5e-05,0.00928,0.00316,4.449,8.505
1e-12,200,1.1e-05,2e-05,0.0093,0.00296,3.991,8.502
1e-12,200,1.1e-05,1.5e-05,0.00929,0.00266,3.158,8.692
1e-12,200,1.1e-05,1.6e-05,0.00929,0.00273,3.368,8.63
1e-12,200,1.1e-05,1.7e-05,0.0093,0.0028,3.554,8.582
1e-12,200,1.1e-05,1.8e-05,0.0093,0.00285,3.717,8.546
1e-12,200,1.1e-05,1.9e-05,0.0093,0.00291,3.862,8.52
1e-12,200,1.1e-05,2.1e-05,0.0093,0.003,4.104,8.492
1e-12,200,1.1e-05,2.2e-05,0.0093,0.00304,4.205,8.488
1e-12,200,1.1e-05,2.3e-05,0.0093,0.00308,4.293,8.489
1e-12,200,1.1e-05,2.4e-05,0.0093,0.00311,4.371,8.495
1e-12,200,1.1e-05,2.5e-05,0.0093,0.00314,4.439,8.504
1e-12,200,1.2e-05,2e-05,0.0093,0.00295,4.001,8.502
1e-12,200,1.2e-05,1.5e-05,0.0093,0.00265,3.163,8.689
1e-12,200,1.2e-05,1.6e-05,0.0093,0.00273,3.375,8.627
1e-12,200,1.2e-05,1.7e-05,0.0093,0.00279,3.562,8.58
1e-12,200,1.2e-05,1.8e-05,0.0093,0.00285,3.726,8.545
1e-12,200,1.2e-05,1.9e-05,0.0093,0.00291,3.872,8.519
1e-12,200,1.2e-05,2.1e-05,0.0093,0.003,4.115,8.492
1e-12,200,1.2e-05,2.2e-05,0.0093,0.00304,4.215,8.488
1e-12,200,1.2e-05,2.3e-05,0.0093,0.00307,4.304,8.489
1e-12,200,1.2e-05,2.4e-05,0.0093,0.0031,4.382,8.495
1e-12,200,1.2e-05,2.5e-05,0.0093,0.00312,4.45,8.505
1e-12,200,1.3e-05,2e-05,0.00931,0.00296,4.025,8.504
1e-12,200,1.3e-05,1.5e-05,0.0093,0.00264,3.184,8.691
1e-12,200,1.3e-05,1.6e-05,0.0093,0.00272,3.397,8.629
1e-12,200,1.3e-05,1.7e-05,0.00931,0.00278,3.584,8.582
1e-12,200,1.3e-05,1.8e-05,0.00931,0.00284,3.75,8.547
1e-12,200,1.3e-05,1.9e-05,0.00931,0.00289,3.896,8.521
1e-12,200,1.3e-05,2.1e-05,0.00931,0.003,4.14,8.494
1e-12,200,1.3e-05,2.2e-05,0.00931,0.00303,4.241,8.49
1e-12,200,1.3e-05,2.3e-05,0.00931,0.00307,4.33,8.491
1e-12,200,1.3e-05,2.4e-05,0.00931,0.0031,4.408,8.497
1e-12,200,1.3e-05,2.5e-05,0.0093,0.00312,4.476,8.506
1e-12,200,1.4e-05,2e-05,0.00931,0.00294,4.061,8.51
1e-12,200,1.4e-05,1.5e-05,0.00931,0.00264,3.213,8.699
1e-12,200,1.4e-05,1.6e-05,0.00931,0.00271,3.428,8.637
1e-12,200,1.4e-05,1.7e-05,0.00931,0.00277,3.617,8.59
1e-12,200,1.4e-05,1.8e-05,0.00931,0.00283,3.783,8.554
1e-12,200,1.4e-05,1.9e-05,0.00931,0.00289,3.931,8.528
1e-12,200,1.4e-05,2.1e-05,0.00931,0.00299,4.176,8.499
1e-12,200,1.4e-05,2.2e-05,0.00931,0.00303,4.278,8.495
1e-12,200,1.4e-05,2.3e-05,0.00931,0.00305,4.368,8.496
1e-12,200,1.4e-05,2.4e-05,0.00931,0.00308,4.446,8.501
1e-12,200,1.4e-05,2.5e-05,0.00931,0.00311,4.515,8.51
1e-12,200,1.5e-05,2e-05,0.00931,0.00293,4.1,8.521
1e-12,200,1.5e-05,1.5e-05,0.00931,0.00263,3.246,8.713
1e-12,200,1.5e-05,1.6e-05,0.00931,0.0027,3.462,8.651
1e-12,200,1.5e-05,1.7e-05,0.00931,0.00277,3.652,8.602
1e-12,200,1.5e-05,1.8e-05,0.00931,0.00283,3.82,8.566
1e-12,200,1.5e-05,1.9e-05,0.00931,0.00288,3.969,8.539
1e-12,200,1.5e-05,2.1e-05,0.00931,0.003,4.217,8.509
1e-12,200,1.5e-05,2.2e-05,0.00931,0.00304,4.32,8.504
