L1p,L1s,L3p,L3s,Lm,Wn1,Wn2,S11,S22,LargeSignalPowerGain,PAE,DrainEfficiency,PSAT,PowerConsumption
3.5e-10,8e-11,4.75e-10,6e-11,1.75e-10,2.2e-05,3.2e-05,-27.23,-31.08,14.94,10.62,11.47,2.285,0.0146
3.5e-10,8e-11,4.75e-10,6e-11,1.75e-10,1.6e-05,3.2e-05,-9.55,-26.41,13.45,6.852,7.287,-0.292,0.0126
3.5e-10,8e-11,4.75e-10,6e-11,1.75e-10,1.6e-05,2.8e-05,-9.646,-10.71,15.66,7.449,7.743,-0.315,0.0117
3.5e-10,8e-11,4.75e-10,6e-11,1.75e-10,1.9e-05,2.4e-05,-15.84,-4.581,17.11,7.133,7.379,-0.358,0.0118
3.5e-10,8e-11,4.75e-10,6e-11,1.75e-10,2.5e-05,2.8e-05,-18.05,-10.16,16.85,11.33,12.58,2.978,0.0146
3.5e-10,8e-11,4.75e-10,6e-11,1.75e-10,2.8e-05,4e-05,-13.75,-10.14,9.652,6.0,10.0,2.665,0.0184
3.5e-10,8e-11,4.75e-10,6e-11,8.75e-11,2.5e-05,3.2e-05,-19.48,-19.3,14.85,10.9,11.88,2.821,0.0156
3.5e-10,8e-11,4.75e-10,6e-11,2.63e-10,2.2e-05,4e-05,-44.24,-11.18,9.896,3.22,3.702,-2.147,0.0164
3.5e-10,8e-11,4.75e-10,6e-11,2.63e-10,2.5e-05,2.4e-05,-15.56,-5.163,17.55,5.587,5.725,-0.934,0.0137
3.5e-10,8e-11,4.75e-10,6e-11,2.63e-10,2.5e-05,2.8e-05,-16.54,-10.16,16.72,10.57,11.85,2.571,0.0146
3.5e-10,8e-11,4.75e-10,3e-11,1.75e-10,1.6e-05,2.4e-05,-9.73,-1.778,12.88,3.373,4.422,-2.629,0.0108
3.5e-10,8e-11,4.75e-10,3e-11,1.75e-10,1.6e-05,2.8e-05,-9.689,-4.283,13.53,4.47,5.037,-2.04,0.0117
3.5e-10,8e-11,4.75e-10,3e-11,1.75e-10,1.6e-05,3.6e-05,-9.488,-7.41,9.902,4.705,7.712,0.716,0.0135
3.5e-10,8e-11,4.75e-10,3e-11,8.75e-11,1.6e-05,2.4e-05,-9.507,-1.455,11.77,3.251,4.893,-1.317,0.0108
3.5e-10,8e-11,4.75e-10,3e-11,8.75e-11,2.8e-05,3.6e-05,-14.7,-8.853,11.64,5.873,6.988,0.824,0.0175
3.5e-10,8e-11,4.75e-10,3e-11,8.75e-11,2.8e-05,4e-05,-14.85,-6.404,8.985,4.555,7.437,1.271,0.0184
3.5e-10,8e-11,4.75e-10,3e-11,2.63e-10,2.2e-05,3.2e-05,-38.14,-5.771,13.4,5.471,6.983,0.131,0.0146
3.5e-10,8e-11,4.75e-10,3e-11,2.63e-10,2.2e-05,2.4e-05,-27.54,-2.12,14.79,1.781,1.842,-6.213,0.0127
3.5e-10,8e-11,4.75e-10,3e-11,2.63e-10,2.2e-05,3.6e-05,-43.83,-6.343,11.26,4.687,5.349,-0.931,0.0155
3.5e-10,8e-11,4.75e-10,3e-11,2.63e-10,1.6e-05,3.2e-05,-9.751,-6.107,12.26,5.07,6.798,-0.538,0.0126
3.5e-10,8e-11,4.75e-10,3e-11,2.63e-10,1.9e-05,2.4e-05,-17.7,-2.145,14.19,3.033,3.282,-3.883,0.0117
3.5e-10,8e-11,4.75e-10,3e-11,2.63e-10,1.9e-05,4e-05,-16.02,-5.588,8.277,2.76,4.016,-2.12,0.0154
3.5e-10,8e-11,4.75e-10,3e-11,2.63e-10,2.5e-05,2.4e-05,-15.4,-2.021,14.51,1.509,1.565,-6.619,0.0137
3.5e-10,8e-11,4.75e-10,3e-11,2.63e-10,2.5e-05,3.6e-05,-17.21,-6.414,11.19,5.329,7.876,1.088,0.0165
3.5e-10,8e-11,4.75e-10,9e-11,1.75e-10,1.6e-05,4e-05,-9.47,-8.411,7.781,2.903,5.697,-0.568,0.0145
3.5e-10,8e-11,4.75e-10,9e-11,1.75e-10,2.5e-05,3.2e-05,-18.7,-10.31,14.59,9.007,9.503,1.764,0.0156
3.5e-10,8e-11,4.75e-10,9e-11,1.75e-10,2.5e-05,2.8e-05,-18.05,-8.549,16.85,13.39,16.28,4.428,0.0146
3.5e-10,8e-11,4.75e-10,9e-11,1.75e-10,2.8e-05,2.8e-05,-13.19,-8.267,16.21,12.86,16.3,4.568,0.0156
3.5e-10,8e-11,4.75e-10,9e-11,1.75e-10,2.8e-05,3.6e-05,-13.63,-9.86,11.76,5.782,6.326,0.468,0.0175
3.5e-10,8e-11,4.75e-10,9e-11,8.75e-11,2.2e-05,3.2e-05,-21.7,-8.076,14.05,11.64,14.44,4.124,0.0146
3.5e-10,8e-11,4.75e-10,9e-11,8.75e-11,2.2e-05,4e-05,-21.33,-7.093,8.918,4.894,8.824,2.345,0.0164
3.5e-10,8e-11,4.75e-10,9e-11,8.75e-11,1.9e-05,2.4e-05,-14.51,-3.964,16.93,12.26,14.48,3.326,0.0118
3.5e-10,8e-11,4.75e-10,9e-11,8.75e-11,1.9e-05,2.8e-05,-14.3,-6.376,15.73,13.0,15.51,4.048,0.0127
3.5e-10,8e-11,4.75e-10,9e-11,8.75e-11,2.8e-05,3.2e-05,-14.3,-8.404,13.98,8.898,9.463,2.077,0.0166
3.5e-10,8e-11,4.75e-10,9e-11,8.75e-11,2.8e-05,2.4e-05,-13.31,-4.789,17.4,12.03,13.17,3.444,0.0147
3.5e-10,8e-11,4.75e-10,9e-11,2.63e-10,2.2e-05,2.8e-05,-33.2,-10.19,17.16,12.2,12.91,2.601,0.0136
3.5e-10,8e-11,4.75e-10,9e-11,2.63e-10,2.2e-05,4e-05,-43.29,-10.62,9.861,4.708,7.406,0.798,0.0164
3.5e-10,8e-11,4.75e-10,9e-11,2.63e-10,1.6e-05,2.8e-05,-9.852,-9.902,16.01,12.32,14.88,3.202,0.0117
3.5e-10,8e-11,4.75e-10,9e-11,2.63e-10,2.5e-05,2.4e-05,-15.58,-6.388,18.44,12.2,14.67,3.613,0.0137
3.5e-10,8e-11,4.75e-10,9e-11,2.63e-10,2.8e-05,3.2e-05,-12.5,-12.03,13.89,10.88,14.42,4.079,0.0165
3.5e-10,8e-11,4.75e-10,9e-11,2.63e-10,2.8e-05,2.8e-05,-12.38,-9.392,16.05,11.31,12.25,2.927,0.0156
3.5e-10,8e-11,2.38e-10,6e-11,1.75e-10,2.2e-05,2.8e-05,-28.6,-1.726,11.3,2.069,3.337,-2.493,0.0137
3.5e-10,8e-11,2.38e-10,6e-11,1.75e-10,2.8e-05,3.2e-05,-13.39,-2.379,9.883,2.043,3.894,-1.202,0.0165
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,2.2e-05,2.4e-05,-24.19,-1.018,10.78,2.045,3.22,-3.071,0.0127
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,1.6e-05,3.2e-05,-9.451,-2.262,8.348,2.016,3.721,-2.088,0.0126
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,1.6e-05,2.4e-05,-9.469,-0.922,8.694,1.72,3.067,-3.526,0.0108
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,1.6e-05,2.8e-05,-9.486,-1.427,8.84,1.852,2.4,-5.133,0.0117
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,1.6e-05,4e-05,-9.365,-5.112,6.247,1.46,3.768,-2.052,0.0145
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,1.9e-05,2.4e-05,-14.5,-0.964,9.95,1.938,3.171,-3.07,0.0118
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,1.9e-05,3.6e-05,-14.06,-3.495,8.454,2.283,4.133,-1.139,0.0145
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,2.5e-05,2.4e-05,-18.33,-1.063,11.07,2.054,3.27,-2.781,0.0137
3.5e-10,8e-11,2.38e-10,6e-11,8.75e-11,2.8e-05,2.4e-05,-13.13,-1.069,10.59,1.926,3.317,-2.435,0.0147
3.5e-10,8e-11,2.38e-10,6e-11,2.63e-10,2.2e-05,2.4e-05,-27.57,-1.295,11.99,1.752,2.402,-4.756,0.0127
3.5e-10,8e-11,2.38e-10,6e-11,2.63e-10,1.6e-05,2.4e-05,-9.987,-1.23,11.0,1.393,1.552,-7.59,0.0108
3.5e-10,8e-11,2.38e-10,6e-11,2.63e-10,1.9e-05,3.6e-05,-16.28,-3.568,9.037,2.144,3.349,-3.08,0.0145
3.5e-10,8e-11,2.38e-10,6e-11,2.63e-10,1.9e-05,4e-05,-16.1,-4.565,7.581,1.726,3.439,-2.751,0.0154
3.5e-10,8e-11,2.38e-10,6e-11,2.63e-10,2.5e-05,3.6e-05,-17.06,-3.412,9.229,2.17,3.913,-1.305,0.0165
3.5e-10,8e-11,2.38e-10,6e-11,2.63e-10,2.8e-05,3.2e-05,-12.55,-2.437,9.63,1.864,3.63,-1.57,0.0165
3.5e-10,8e-11,2.38e-10,6e-11,2.63e-10,2.8e-05,2.8e-05,-12.31,-1.732,10.45,1.516,1.809,-5.353,0.0156
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,2.2e-05,3.2e-05,-27.59,-1.06,6.791,0.655,1.561,-5.864,0.0146
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,1.6e-05,3.2e-05,-9.611,-1.071,5.426,0.53,1.468,-6.301,0.0126
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,1.6e-05,2.4e-05,-9.674,-0.526,5.956,0.456,1.109,-8.647,0.0108
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,1.9e-05,4e-05,-14.89,-1.922,4.43,0.484,1.672,-5.585,0.0154
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,2.5e-05,2.4e-05,-16.72,-0.569,7.6,0.53,0.741,-9.623,0.0137
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,2.5e-05,2.8e-05,-17.58,-0.759,7.289,0.569,0.884,-8.597,0.0146
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,2.5e-05,3.6e-05,-18.87,-1.411,5.985,0.658,1.794,-4.595,0.0165
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,2.8e-05,3.2e-05,-13.36,-1.005,6.132,0.552,1.643,-4.84,0.0165
3.5e-10,8e-11,2.38e-10,3e-11,1.75e-10,2.8e-05,3.6e-05,-13.61,-1.374,5.528,0.509,0.78,-8.601,0.0175
3.5e-10,8e-11,2.38e-10,3e-11,8.75e-11,2.2e-05,3.2e-05,-22.0,-0.979,6.173,0.506,0.714,-9.669,0.0146
3.5e-10,8e-11,2.38e-10,3e-11,8.75e-11,2.2e-05,2.4e-05,-24.25,-0.51,6.724,0.536,1.183,-7.479,0.0127
3.5e-10,8e-11,2.38e-10,3e-11,8.75e-11,1.6e-05,2.8e-05,-9.485,-0.659,4.857,0.433,1.356,-6.694,0.0117
3.5e-10,8e-11,2.38e-10,3e-11,8.75e-11,1.9e-05,2.4e-05,-14.5,-0.49,5.882,0.475,1.239,-7.142,0.0118
3.5e-10,8e-11,2.38e-10,3e-11,8.75e-11,1.9e-05,4e-05,-13.96,-1.953,4.13,0.471,1.742,-5.253,0.0155
3.5e-10,8e-11,2.38e-10,3e-11,8.75e-11,2.5e-05,3.2e-05,-19.11,-0.971,6.313,0.648,1.714,-4.758,0.0156
3.5e-10,8e-11,2.38e-10,3e-11,8.75e-11,2.5e-05,2.4e-05,-18.34,-0.526,7.026,0.547,1.289,-6.689,0.0137
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.2e-05,3.2e-05,-34.74,-1.083,6.945,0.633,1.351,-6.778,0.0146
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.2e-05,2.8e-05,-30.91,-0.819,7.749,0.572,1.267,-6.941,0.0136
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.2e-05,4e-05,-43.78,-1.754,4.763,0.508,1.681,-5.135,0.0164
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,1.6e-05,2.4e-05,-9.987,-0.588,6.993,0.485,1.086,-8.378,0.0108
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,1.9e-05,3.6e-05,-16.3,-1.43,5.571,0.579,0.998,-8.353,0.0145
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.5e-05,2.4e-05,-15.18,-0.606,7.782,0.471,1.114,-7.573,0.0137
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.5e-05,3.6e-05,-17.06,-1.375,5.729,0.589,1.149,-7.205,0.0165
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.8e-05,3.2e-05,-12.54,-1.027,5.903,0.497,1.501,-5.36,0.0165
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.8e-05,2.8e-05,-12.29,-0.772,6.562,0.441,1.271,-6.36,0.0156
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.8e-05,3.6e-05,-12.64,-1.35,5.089,0.505,1.195,-6.789,0.0174
3.5e-10,8e-11,2.38e-10,3e-11,2.63e-10,2.8e-05,4e-05,-12.67,-1.711,4.158,0.437,1.735,-4.551,0.0184
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,2.2e-05,2.4e-05,-31.35,-1.823,13.8,3.878,5.32,-0.797,0.0127
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,1.6e-05,2.4e-05,-9.675,-1.646,12.18,3.6,5.109,-1.574,0.0108
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,1.9e-05,2.4e-05,-15.78,-1.735,13.25,3.818,5.237,-1.11,0.0118
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,1.9e-05,3.6e-05,-15.0,-5.798,10.23,3.791,5.909,0.152,0.0145
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,2.5e-05,3.2e-05,-18.44,-3.923,12.11,3.944,5.987,0.515,0.0156
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,2.5e-05,2.4e-05,-16.81,-1.86,13.8,3.799,5.375,-0.587,0.0137
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,2.5e-05,3.6e-05,-18.97,-5.567,10.81,3.999,6.249,0.857,0.0165
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,2.8e-05,3.2e-05,-13.4,-3.779,11.54,3.696,6.009,0.656,0.0165
3.5e-10,8e-11,2.38e-10,9e-11,1.75e-10,2.8e-05,3.6e-05,-13.63,-5.393,10.39,3.788,6.303,1.018,0.0175
3.5e-10,8e-11,2.38e-10,9e-11,8.75e-11,2.2e-05,2.4e-05,-24.09,-1.572,12.98,3.973,5.475,-0.488,0.0127
3.5e-10,8e-11,2.38e-10,9e-11,8.75e-11,2.2e-05,4e-05,-21.29,-7.514,8.879,3.602,6.127,0.858,0.0164
3.5e-10,8e-11,2.38e-10,9e-11,8.75e-11,1.6e-05,3.2e-05,-9.443,-3.466,9.949,3.668,5.829,-0.196,0.0126
3.5e-10,8e-11,2.38e-10,9e-11,8.75e-11,1.9e-05,2.8e-05,-14.38,-2.292,11.87,4.053,5.775,-0.147,0.0127
3.5e-10,8e-11,2.38e-10,9e-11,8.75e-11,2.5e-05,2.4e-05,-18.36,-1.655,13.26,3.969,5.555,-0.284,0.0137
3.5e-10,8e-11,2.38e-10,9e-11,8.75e-11,2.5e-05,4e-05,-20.06,-7.395,9.2,3.827,6.094,0.534,0.0174
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.2e-05,2.4e-05,-27.79,-2.067,14.19,3.22,3.587,-3.094,0.0127
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.2e-05,2.8e-05,-31.49,-3.005,13.58,3.575,4.811,-1.473,0.0136
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.2e-05,4e-05,-43.92,-7.431,9.194,3.15,5.357,-0.583,0.0164
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,1.6e-05,2.8e-05,-9.909,-3.033,12.56,3.537,4.966,-1.472,0.0117
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,1.9e-05,2.8e-05,-16.99,-3.047,13.35,3.609,5.079,-1.067,0.0127
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.5e-05,3.2e-05,-16.75,-4.074,12.06,3.713,5.675,0.136,0.0155
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.5e-05,2.4e-05,-15.28,-2.041,13.97,2.532,2.703,-4.124,0.0137
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.5e-05,2.8e-05,-16.21,-2.909,13.25,3.425,5.108,-0.566,0.0146
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.5e-05,3.6e-05,-17.04,-5.549,10.64,3.715,5.883,0.401,0.0165
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.5e-05,4e-05,-17.18,-7.291,9.144,3.274,4.436,-1.244,0.0174
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.8e-05,3.2e-05,-12.53,-3.939,11.31,3.409,5.67,0.302,0.0165
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.8e-05,2.4e-05,-11.84,-1.966,13.14,1.913,2.037,-5.121,0.0147
3.5e-10,8e-11,2.38e-10,9e-11,2.63e-10,2.8e-05,2.8e-05,-12.32,-2.792,12.4,2.681,2.974,-3.209,0.0156
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,2.2e-05,3.2e-05,-27.93,-5.062,13.29,9.292,11.76,2.942,0.0146
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,2.2e-05,2.4e-05,-29.37,-10.88,19.88,16.32,18.27,4.135,0.0127
3.5e-10,8e-11,7.13e-10,6e-11,1.75e-10,2.2e-05,4e-05,-27.47,-3.425,7.209,2.457,5.655,0.377,0.0164
