C1,L1,Rp,Wn,Wn5,Wn6,Wvar,OscillationFrequency,PowerConsumption,OutputPower,PhaseNoise,TuningRange
1.5e-13,4e-09,1000.0,2e-06,1.1e-05,3.2e-06,4e-06,3520000000.0,0.00681,17.41,-98.16,286000000.0
1.5e-13,4e-09,1000.0,2e-06,1.1e-05,3.2e-06,3e-06,3680000000.0,0.00681,17.53,-96.13,2760000.0
1.5e-13,4e-09,1000.0,2e-06,1.1e-05,3.2e-06,4.5e-06,3450000000.0,0.00681,17.38,-95.65,304000000.0
1.5e-13,4e-09,1000.0,2e-06,1.1e-05,2.4e-06,3e-06,3700000000.0,0.00524,17.15,-95.27,255000000.0
1.5e-13,4e-09,1000.0,2e-06,1.1e-05,2.4e-06,3.5e-06,3620000000.0,0.00524,17.07,-96.49,19200000.0
1.5e-13,4e-09,1000.0,2e-06,1.1e-05,2.4e-06,4.5e-06,3480000000.0,0.00524,16.96,-95.89,209000000.0
1.5e-13,4e-09,1000.0,2e-06,1.1e-05,4e-06,3e-06,3650000000.0,0.00835,17.82,-93.03,22000000.0
1.5e-13,4e-09,1000.0,2e-06,1.1e-05,4e-06,5e-06,3360000000.0,0.00835,17.58,-91.17,31300000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,3.2e-06,4e-06,3530000000.0,0.00635,17.32,-96.47,145000000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,3.2e-06,3e-06,3680000000.0,0.00635,17.42,-99.97,20000000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,3.2e-06,3.5e-06,3600000000.0,0.00635,17.36,-95.32,59800000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,3.2e-06,4.5e-06,3460000000.0,0.00635,17.26,-96.98,50700000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,3.2e-06,5e-06,3390000000.0,0.00635,17.2,-101.5,28500000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,2.4e-06,4e-06,3550000000.0,0.00488,16.89,-91.52,30700000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,2.4e-06,3e-06,3710000000.0,0.00488,17.01,-98.57,77900000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,2.4e-06,3.5e-06,3630000000.0,0.00488,16.95,-98.55,177000000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,2.4e-06,5e-06,3420000000.0,0.00488,16.78,-104.1,15000000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,4e-06,4e-06,3500000000.0,0.00778,17.59,-85.48,155000000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,4e-06,3e-06,3660000000.0,0.00778,17.71,-94.32,122000000.0
1.5e-13,4e-09,1000.0,2e-06,1.2e-05,4e-06,5e-06,3370000000.0,0.00778,17.5,-88.85,317000000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.1e-05,3.2e-06,3e-06,4000000000.0,0.00656,17.57,-92.42,87400000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.1e-05,3.2e-06,5e-06,3640000000.0,0.00656,17.32,-102.3,43800000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.1e-05,2.4e-06,3e-06,4030000000.0,0.00508,17.14,-98.85,169000000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.1e-05,4e-06,3e-06,3980000000.0,0.008,17.84,-94.48,16800000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.1e-05,4e-06,4.5e-06,3700000000.0,0.008,17.65,-97.22,21900000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.2e-05,3.2e-06,3.5e-06,3910000000.0,0.00612,17.38,-93.14,10800000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.2e-05,3.2e-06,4.5e-06,3730000000.0,0.00612,17.25,-104.8,16700000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.2e-05,2.4e-06,4e-06,3840000000.0,0.00473,16.87,-95.97,392000000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.2e-05,4e-06,4e-06,3790000000.0,0.00746,17.61,-103.6,144000000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.2e-05,4e-06,3e-06,3990000000.0,0.00746,17.73,-95.53,107000000.0
1.5e-13,4e-09,1000.0,1.2e-06,1.2e-05,4e-06,3.5e-06,3890000000.0,0.00746,17.68,-98.02,322000000.0
